iter	Passed	Remaining
446	1123	1389
447	1124	1385
448	1126	1381
449	1127	1377
450	1129	1374
451	1131	1371
452	1132	1368
453	1134	1364
454	1137	1362
455	1139	1359
456	1143	1358
457	1144	1354
458	1146	1350
459	1147	1346
460	1150	1345
461	1152	1341
462	1153	1338
463	1154	1334
464	1157	1332
465	1159	1328
466	1160	1324
467	1162	1321
468	1164	1318
469	1165	1314
470	1166	1310
471	1168	1306
472	1170	1304
473	1172	1300
474	1173	1296
475	1174	1293
476	1177	1291
477	1179	1287
478	1180	1283
479	1183	1281
480	1184	1278
481	1185	1274
482	1187	1270
483	1188	1267
484	1191	1264
485	1192	1261
486	1194	1257
487	1196	1255
488	1198	1252
489	1199	1248
490	1201	1245
491	1202	1242
492	1204	1239
493	1206	1235
494	1207	1231
495	1210	1230
496	1212	1226
497	1213	1223
498	1214	1219
499	1217	1217
500	1218	1213
501	1220	1210
502	1221	1206
503	1223	1204
504	1225	1201
505	1226	1197
506	1228	1194
507	1230	1191
508	1232	1188
509	1233	1184
510	1236	1183
511	1238	1180
512	1242	1179
513	1244	1176
514	1245	1173
515	1247	1169
516	1250	1167
517	1251	1164
518	1252	1161
519	1254	1157
520	1256	1155
521	1258	1152
522	1259	1148
523	1260	1145
524	1263	1143
525	1264	1139
526	1266	1136
527	1268	1133
528	1270	1131
529	1271	1127
530	1272	1124
531	1274	1121
532	1276	1118
533	1278	1115
534	1280	1112
535	1283	1110
536	1284	1107
537	1286	1104
538	1287	1101
539	1290	1099
540	1291	1095
541	1292	1092
542	1294	1089
543	1297	1087
544	1298	1084
545	1299	1080
546	1303	1079
547	1305	1077
548	1309	1075
549	1310	1072
550	1311	1069
551	1313	1066
552	1316	1064
553	1318	1061
554	1319	1058
555	1320	1054
556	1323	1052
557	1325	1049
558	1326	1046
559	1328	1044
560	1330	1041
561	1331	1038
562	1333	1034
563	1334	1031
564	1336	1028
565	1337	1025
566	1339	1022
567	1342	1020
568	1344	1018
569	1346	1015
570	1348	1013
571	1350	1010
572	1351	1007
573	1354	1005
574	1356	1002
575	1358	999
576	1360	997
577	1362	994
578	1363	991
579	1365	988
580	1367	986
581	1369	983
582	1370	980
583	1372	977
584	1374	975
585	1376	972
586	1377	969
587	1378	966
588	1381	964
589	1383	961
590	1384	958
591	1385	955
592	1388	953
593	1390	950
594	1391	947
595	1392	944
596	1395	942
597	1396	939
598	1398	936
599	1399	933
600	1402	930
601	1404	928
602	1405	925
603	1408	923
604	1410	920
605	1411	917
606	1413	915
607	1415	912
608	1417	910
609	1421	908
610	1422	905
611	1423	902
612	1425	899
613	1426	897
614	1429	894
615	1430	891
616	1431	888
617	1434	886
618	1437	884
619	1441	883
620	1442	880
621	1444	877
622	1445	874
623	1447	872
624	1449	869
625	1451	867
626	1452	864
627	1455	862
628	1456	859
629	1458	856
630	1459	853
631	1462	851
632	1463	848
633	1465	845
634	1466	843
635	1468	840
636	1470	838
637	1472	835
638	1475	833
639	1476	830
640	1478	828
641	1481	825
642	1482	823
643	1484	820
644	1485	817
645	1487	815
646	1489	812
647	1490	809
648	1492	807
649	1495	805
650	1496	802
651	1498	799
652	1499	796
653	1502	794
654	1503	792
655	1505	789
656	1506	786
657	1509	784
658	1510	781
659	1511	778
660	1513	776
661	1515	773
662	1517	771
663	1518	768
664	1519	765
665	1522	763
666	1523	760
667	1524	757
668	1526	755
669	1528	753
670	1530	750
671	1531	747
672	1534	745
673	1536	743
674	1537	740
675	1539	737
676	1542	735
677	1544	733
678	1547	731
679	1549	729
680	1551	726
681	1553	724
682	1555	722
683	1557	719
684	1558	716
685	1561	714
686	1563	712
687	1564	709
688	1566	706
689	1569	705
690	1572	703
691	1576	701
692	1577	698
693	1579	696
694	1581	694
695	1583	691
696	1584	688
697	1587	686
698	1589	684
699	1590	681
700	1591	679
701	1594	676
702	1596	674
703	1597	671
704	1598	669
705	1602	667
706	1603	664
707	1605	662
708	1607	659
709	1609	657
710	1610	654
711	1612	652
712	1614	650
713	1616	647
714	1617	644
715	1619	642
716	1621	640
717	1623	637
718	1624	634
719	1625	632
720	1628	630
721	1630	627
722	1631	625
723	1632	622
724	1634	619
725	1636	617
726	1638	615
727	1640	612
728	1643	610
729	1646	608
730	1648	606
731	1650	604
732	1651	601
733	1652	599
734	1655	596
735	1657	594
736	1658	591
737	1661	589
738	1662	587
739	1664	584
740	1665	582
741	1666	579
742	1669	577
743	1671	575
744	1675	573
745	1676	570
746	1677	568
747	1679	565
748	1681	563
749	1683	561
750	1684	558
751	1685	555
752	1688	553
753	1690	551
754	1691	548
755	1692	546
756	1695	544
757	1696	541
758	1698	539
759	1699	536
760	1702	534
761	1703	532
762	1705	529
763	1707	527
764	1708	524
765	1710	522
766	1711	519
767	1712	517
768	1715	515
769	1716	512
770	1718	510
771	1720	508
772	1722	505
773	1723	503
774	1725	500
775	1727	498
776	1728	496
777	1730	493
778	1731	491
779	1734	489
780	1736	486
781	1737	484
782	1738	481
783	1741	479
784	1743	477
785	1746	475
786	1750	473
787	1754	471
788	1755	469
789	1757	467
790	1758	464
791	1761	462
792	1763	460
793	1764	457
794	1766	455
795	1768	453
796	1769	450
797	1771	448
798	1773	446
799	1775	443
800	1776	441
801	1780	439
802	1783	437
803	1786	435
804	1788	433
805	1790	430
806	1791	428
807	1794	426
808	1796	424
809	1797	421
810	1798	419
811	1801	417
812	1802	414
813	1804	412
814	1805	409
815	1808	407
816	1810	405
817	1811	403
818	1815	401
819	1816	398
820	1817	396
821	1820	394
822	1822	391
823	1823	389
824	1824	387
825	1827	385
826	1829	382
827	1830	380
828	1831	377
829	1834	375
830	1836	373
831	1837	371
832	1839	368
833	1842	366
834	1846	364
835	1848	362
836	1850	360
837	1851	357
838	1854	355
839	1855	353
840	1857	351
841	1858	348
842	1860	346
843	1862	344
844	1863	341
845	1865	339
846	1867	337
847	1869	335
848	1870	332
849	1872	330
850	1875	328
851	1876	325
852	1877	323
853	1879	321
854	1881	319
855	1883	316
856	1884	314
857	1886	312
858	1888	309
859	1889	307
860	1891	305
861	1892	302
862	1895	300
863	1897	298
864	1898	296
865	1900	294
866	1902	291
867	1903	289
868	1905	287
869	1907	285
870	1909	282
871	1910	280
872	1911	278
873	1914	276
874	1916	273
875	1917	271
876	1921	269
877	1922	267
878	1923	264
879	1925	262
880	1928	260
881	1929	258
882	1931	255
883	1932	253
884	1934	251
885	1936	249
886	1937	246
887	1938	244
888	1942	242
889	1943	240
890	1945	237
891	1948	235
892	1950	233
893	1954	231
894	1956	229
895	1957	227
896	1958	224
897	1962	222
898	1963	220
899	1964	218
900	1966	216
901	1969	213
902	1970	211
903	1971	209
904	1974	207
905	1976	205
906	1977	202
907	1979	200
908	1982	198
909	1983	196
910	1984	193
911	1985	191
912	1988	189
913	1989	187
914	1992	185
915	1995	182
916	1996	180
917	1998	178
918	2003	176
919	2007	174
920	2011	172
921	2013	170
922	2016	168
923	2020	166
924	2024	164
925	2028	162
926	2030	159
927	2034	157
928	2038	155
929	2045	153
930	2048	151
931	2051	149
932	2054	147
933	2063	145
934	2071	144
935	2074	141
936	2077	139
937	2079	137
938	2083	135
939	2086	133
940	2091	131
941	2093	128
942	2097	126
943	2099	124
944	2103	122
945	2105	120
946	2110	118
947	2112	115
948	2115	113
949	2129	112
950	2132	109
951	2135	107
952	2138	105
953	2140	103
954	2149	101
955	2151	99
956	2153	96
957	2156	94
958	2158	92
959	2161	90
960	2164	87
961	2166	85
962	2169	83
963	2172	81
964	2176	78
965	2178	76
966	2179	74
967	2181	72
968	2183	69
969	2185	67
970	2187	65
971	2190	63
972	2191	60
973	2193	58
974	2194	56
975	2197	54
976	2198	51
977	2199	49
978	2201	47
979	2204	44
980	2205	42
981	2206	40
982	2209	38
983	2211	35
984	2212	33
985	2213	31
986	2215	29
987	2217	26
988	2223	24
989	2225	22
990	2226	20
991	2227	17
992	2230	15
993	2232	13
994	2236	11
995	2239	8
996	2244	6
997	2246	4
998	2247	2
999	2251	0
