iter	RMSE
0	8982.170456
1	8862.247091
2	8718.811842
3	8590.366873
4	8457.456017
5	8297.015969
6	8157.479036
7	8042.987964
8	7944.665857
9	7825.093356
10	7680.60966
11	7561.02633
12	7445.98082
13	7319.001757
14	7219.836128
15	7106.449653
16	6988.920146
17	6899.372181
18	6812.903662
19	6694.428408
20	6585.048779
21	6484.003803
22	6382.662543
23	6287.657585
24	6194.412475
25	6072.290078
26	5965.845862
27	5852.019452
28	5755.406791
29	5653.001955
30	5561.389478
31	5467.125858
32	5383.147218
33	5319.625301
34	5226.963421
35	5150.190905
36	5066.928708
37	4994.744723
38	4922.523458
39	4838.308599
40	4765.319512
41	4691.291905
42	4619.796927
43	4548.739131
44	4487.073178
45	4406.565439
46	4336.805152
47	4265.826418
48	4186.689863
49	4139.495691
50	4079.887754
51	4027.629212
52	3964.392486
53	3890.033077
54	3842.706603
55	3780.425009
56	3726.644404
57	3664.700712
58	3599.930591
59	3550.012476
60	3502.223456
61	3456.110997
62	3400.300217
63	3339.371322
64	3293.725288
65	3249.046414
66	3209.696494
67	3165.914943
68	3119.797692
69	3077.785495
70	3033.570396
71	2988.545142
72	2947.913036
73	2897.630838
74	2858.068215
75	2810.630727
76	2774.112694
77	2738.724451
78	2701.764177
79	2665.544293
80	2625.78161
81	2590.416148
82	2558.309468
83	2523.780487
84	2491.39717
85	2460.442993
86	2425.857644
87	2395.025329
88	2370.89766
89	2340.643536
90	2304.923667
91	2271.296723
92	2246.337265
93	2219.59258
94	2193.166273
95	2168.908664
96	2143.056793
97	2119.153082
98	2091.846939
99	2071.500691
100	2048.623643
101	2025.902693
102	1998.80459
103	1972.0803
104	1948.840827
105	1923.133558
106	1902.760571
107	1881.327778
108	1859.946232
109	1837.444093
110	1815.527753
111	1792.280503
112	1770.198326
113	1750.982295
114	1731.549346
115	1712.174066
116	1695.835825
117	1680.083585
118	1663.335183
119	1644.966761
120	1625.490602
121	1610.281234
122	1594.478833
123	1574.33956
124	1555.741178
125	1544.118616
126	1527.938417
127	1505.772939
128	1491.517432
129	1474.48357
130	1456.381034
131	1442.164227
132	1426.214916
133	1412.772533
134	1397.39643
135	1383.17358
136	1365.130744
137	1350.894522
138	1335.309735
139	1321.200413
140	1306.372982
141	1292.512231
142	1278.68894
143	1265.324496
144	1251.069915
145	1239.126216
146	1227.214279
147	1215.600249
148	1203.620652
149	1192.018268
150	1181.647601
151	1169.101686
152	1158.336013
153	1149.386361
154	1137.033826
155	1126.717322
156	1113.446481
157	1103.413301
158	1092.088783
159	1083.576505
160	1072.551119
161	1060.771878
162	1051.168345
163	1039.783771
164	1031.133605
165	1023.257762
166	1014.885459
167	1005.649822
168	993.9952831
169	986.5929733
170	978.3689952
171	969.1407859
172	959.8239161
173	951.3717826
174	942.561811
175	933.3375203
176	923.3953982
177	914.4075637
178	906.9696897
179	899.0372573
180	891.3668624
181	882.4619747
182	874.8726428
183	867.5713121
184	859.7880595
185	852.8012072
186	845.3872135
187	837.9836577
188	829.595456
189	822.3432095
190	813.6890692
191	806.0821166
192	799.1958232
193	790.0395729
194	783.1701707
195	775.6889179
196	768.425904
197	760.9805977
198	754.424794
199	748.176679
200	741.9452235
201	735.6711637
202	728.0983603
203	720.7079041
204	715.0033554
205	708.1795586
206	701.6117788
207	695.2960284
208	690.6198759
209	684.5867262
210	678.2601265
211	671.7537746
212	665.9206576
213	659.8220474
214	652.3466098
215	646.085602
216	640.2923054
217	634.1557924
218	628.941154
219	623.4619881
220	619.0734987
221	612.4870905
222	607.5917211
223	601.7450138
224	596.825414
225	592.0328101
226	588.1981622
227	584.1997704
228	579.201692
229	575.4800178
230	570.9986547
231	566.3118191
232	560.6498624
233	555.9566937
234	551.3634442
235	545.5433646
236	541.1524881
237	536.5003826
238	531.2833542
239	526.8576468
240	522.3348241
241	517.5741902
242	512.4936724
243	507.9825994
244	503.0055488
245	497.2477148
246	493.1616691
247	489.1367209
248	483.5244479
249	480.7539424
250	476.580288
251	472.1738136
252	468.5783962
253	464.9651151
254	460.5332238
255	456.2966461
256	453.813257
257	450.079827
258	446.6960668
259	443.2724175
260	439.5951873
261	434.9942068
262	431.7656248
263	428.9012736
264	424.6259917
265	420.6688632
266	417.4425734
267	414.1565764
268	410.6655653
269	407.1857467
270	404.2851329
271	401.2678304
272	397.2006908
273	394.0185455
274	390.8887907
275	387.8957039
276	385.0138213
277	381.4338942
278	378.7621767
279	376.7035875
280	373.9907347
281	372.4241177
282	369.8083562
283	366.1892936
284	363.4876211
285	360.942096
286	357.222399
287	355.3197421
288	353.7397381
289	351.203327
290	349.403972
291	347.6351333
292	346.0282626
293	344.2629309
294	342.3926647
295	340.7213347
296	339.0785172
297	337.4637566
298	335.806388
299	334.1221069
300	332.3182603
301	329.3525383
302	327.8398362
303	325.4955339
304	324.0095346
305	321.1928825
306	319.9634754
307	318.4634158
308	315.96913
309	314.772712
310	311.6681922
311	310.3050307
312	308.9667553
313	307.68445
314	306.3116581
315	303.3229839
316	299.9251101
317	298.6692401
318	297.367333
319	296.2826908
320	293.0187489
321	291.0854889
322	289.855133
323	288.8825364
324	288.2092815
325	287.2548855
326	284.5864911
327	283.5797594
328	282.5892571
329	281.9398292
330	278.8749722
331	278.0170821
332	276.1771801
333	274.232746
334	273.6130173
335	272.4993848
336	271.9021231
337	270.9757977
338	268.4641753
339	266.0064599
340	265.1414871
341	263.266109
342	262.6914532
343	260.5682066
344	260.0021564
345	257.933688
346	257.3691481
347	255.5277371
348	253.8009444
349	253.2603337
350	252.3048903
351	250.2574144
352	248.6952026
353	247.8650446
354	247.3444311
355	245.5439327
356	245.0354763
357	243.0773581
358	240.9033208
359	240.3526611
360	238.1995122
361	236.3225158
362	235.8359686
363	233.7709745
364	231.9549393
365	229.8753616
366	229.3920229
367	227.3495767
368	225.9364058
369	225.4261673
370	224.9072755
371	223.1771725
372	221.2757476
373	220.8203152
374	218.8757761
375	216.9429707
376	216.4438811
377	214.8302415
378	213.2433872
379	212.3026783
380	210.6997612
381	209.8262081
382	208.0139133
383	206.6572399
384	206.183265
385	204.3346147
386	203.9262087
387	202.1527009
388	201.7517283
389	200.2425128
390	199.4224743
391	198.0535009
392	196.7430734
393	196.2966525
394	194.5576805
395	194.1766907
396	192.4053402
397	192.0305942
398	190.2944834
399	189.9261091
400	188.3142424
401	186.977645
402	186.6167551
403	185.0424603
404	183.489154
405	182.9157142
406	181.3859142
407	180.8248722
408	179.3181971
409	178.7692632
410	177.2514383
411	176.7133971
412	175.2183433
413	174.8367375
414	173.3892611
415	172.8678654
416	171.4132433
417	170.0031178
418	169.4926453
419	168.1037731
420	167.5678875
421	166.1685734
422	165.6747133
423	164.3243439
424	162.661061
425	162.3068847
426	161.7943954
427	160.1734627
428	159.828611
429	159.529286
430	157.9479778
431	157.6541405
432	157.1646787
433	156.8765587
434	155.5279964
435	154.004277
436	153.5555436
437	153.2754756
438	151.9746505
439	151.5669758
440	150.2739584
441	150.0016951
442	148.7458479
443	148.2927725
444	147.0669838
445	146.4871026
446	146.0995981
447	144.9251866
448	144.5135894
449	143.3368483
450	142.9327369
451	142.3812247
452	141.2502359
453	140.8829924
454	139.6374171
455	138.2781919
456	137.8924024
457	137.4882931
458	136.1654444
459	135.7923296
460	134.5025455
461	134.1136081
462	133.7302516
463	132.4753968
464	132.132348
465	131.7581703
466	130.6756588
467	130.4313711
468	130.0670163
469	129.2607912
470	129.0231563
471	127.9152101
472	126.8752095
473	126.6446686
474	125.4830214
475	125.2512052
476	125.0224033
477	124.0233683
478	123.7974205
479	123.1694688
480	122.9469682
481	121.9731663
482	121.154878
483	120.5498356
484	119.6065112
485	119.4121257
486	118.8177415
487	117.8968673
488	117.6868359
489	117.1056836
490	116.4108069
491	115.5859451
492	114.7017838
493	114.4996496
494	113.5389068
495	113.3419679
496	113.1473437
497	112.2989987
498	111.4299886
499	111.2406142
500	110.3653588
501	110.1929009
502	109.3030505
503	109.0889241
504	108.334025
505	107.8146039
506	106.9944531
507	106.8176427
508	106.0720174
509	105.356334
510	105.1837547
511	104.6896156
512	103.9254182
513	103.1436231
514	102.9771784
515	102.3744579
516	101.4944169
517	101.2142629
518	100.3516937
519	100.077224
520	99.23181326
521	99.0715422
522	98.60937844
523	97.87225046
524	97.60967352
525	96.79206418
526	96.638616
527	96.38235236
528	95.81950813
529	95.02429915
530	94.50634575
531	93.73001612
532	92.96793815
533	92.23652959
534	91.5166515
535	91.37155264
536	91.22835767
537	90.74048749
538	89.98622261
539	89.28329703
540	88.64135667
541	88.19360655
542	87.75496133
543	87.3765657
544	86.63267539
545	86.20328925
546	85.58014444
547	85.06227511
548	84.46013936
549	83.88010966
550	83.47322539
551	83.32110131
552	82.72822539
553	82.57890469
554	82.10241169
555	81.68449036
556	80.8584122
557	80.29461409
558	79.77047458
559	79.38149124
560	78.74275673
561	78.57037484
562	77.94686636
563	77.75966369
564	77.57512623
565	77.13282808
566	76.74684384
567	75.98398507
568	75.8056417
569	75.30018621
570	75.12432317
571	74.61019375
572	74.25648565
573	73.75833607
574	73.14171549
575	73.04536167
576	72.47479388
577	72.38024262
578	71.82252318
579	71.67595467
580	71.13131868
581	71.03989767
582	70.64202204
583	69.95071318
584	69.72643775
585	69.44117595
586	68.87643154
587	68.21027352
588	68.068673
589	67.79389019
590	67.24590627
591	66.69917938
592	66.17263462
593	65.65331011
594	65.22855798
595	64.71133708
596	64.49345526
597	64.27978375
598	63.80035409
599	63.39166064
600	63.18498937
601	62.98227013
602	62.50280606
603	62.06392546
604	61.84850982
605	61.37779131
606	60.88749952
607	60.55391858
608	60.03232485
609	59.56430732
610	59.35984052
611	58.89222027
612	58.57228548
613	58.37416497
614	57.87859662
615	57.44199224
616	57.01594048
617	56.65724092
618	56.25519992
619	55.89458997
620	55.5442678
621	55.16832612
622	54.90995293
623	54.54223027
624	54.11190564
625	53.60177783
626	53.42454833
627	53.16443821
628	52.96028072
629	52.56217189
630	52.21641973
631	51.79976806
632	51.39748776
633	51.16998879
634	50.80163563
635	50.40819351
636	50.02328438
637	49.80576853
638	49.42928599
639	49.05254372
640	48.75584716
641	48.30176507
642	47.9384765
643	47.56406952
644	47.21149415
645	47.00565099
646	46.64420501
647	46.36762987
648	46.17454348
649	45.87586444
650	45.45834215
651	45.12745
652	44.93167888
653	44.52851923
654	44.23961949
655	44.0501487
656	43.7208103
657	43.42109848
